Open,Close,High,Low,Volume,Date
77.25,75.67,77.51,76.48,,01/31/25
76.77,76.87,77.63,76,,01/30/25
77.62,76.58,77.7,76.31,,01/29/25
77.01,77.49,78.18,76.85,,01/28/25
78.34,77.08,79,76.3,,01/27/25
77.86,78.5,78.99,77.6,,01/24/25
78.85,78.29,79.6,77.8,,01/23/25
79.39,79,79.9,78.81,,01/22/25
79.78,79.29,80.46,78.45,,01/21/25
80.98,80.15,81.23,79.42,,01/20/25
81.44,80.79,81.93,80.5,,01/17/25
82.42,81.29,82.57,80.39,,01/16/25
80.29,82.03,82.63,79.62,,01/15/25
80.92,79.92,81.15,79.87,,01/14/25
79.76,81.01,81.68,79.76,,01/13/25
77.26,79.76,80.75,77.03,,01/10/25
76.18,76.92,77.27,75.68,,01/09/25
77.3,76.16,77.89,76.04,,01/08/25
76.18,77.05,77.3,75.91,,01/07/25
76.58,76.3,77.5,75.94,,01/06/25
75.98,76.51,76.73,75.53,,01/03/25
74.93,75.93,76.55,74.72,,01/02/25
74.25,74.64,74.89,73.84,,12/31/24
73.81,73.99,74.63,73.8,,12/30/24
73.16,74.17,74.29,73.05,,12/27/24
72.96,73.58,73.81,72.79,,12/24/24
72.86,72.63,73.38,71.98,,12/23/24
72.57,72.94,73.29,72,,12/20/24
72.91,72.88,73.86,72.53,,12/19/24
73.26,73.39,74.2,72.8,,12/18/24
73.91,73.19,74.18,72.48,,12/17/24
74.6,73.91,74.6,73.7,,12/16/24
73.33,74.49,74.59,73.3,,12/13/24
73.6,73.41,74,72.42,,12/12/24
72.15,73.52,73.75,72.15,,12/11/24
71.94,72.19,72.72,71.53,,12/10/24
70.92,72.14,72.65,70.92,,12/09/24
72.12,71.12,72.19,70.85,,12/06/24
72.52,72.09,72.92,71.8,,12/05/24
73.62,72.31,74.28,72.25,,12/04/24
71.93,73.62,73.93,71.68,,12/03/24
72,71.83,72.89,71.52,,12/02/24
73.11,71.84,73.47,72.56,,11/29/24
72.87,73.28,73.49,72.38,,11/28/24
72.88,72.83,73.37,72.27,,11/27/24
72.85,72.81,74.36,72.09,,11/26/24
75.38,73.01,75.38,72.84,,11/25/24
74.29,75.17,75.41,73.43,,11/22/24
73.1,74.23,74.4,72.91,,11/21/24
73.38,72.81,73.94,72.7,,11/20/24
73.15,73.31,73.87,72.61,,11/19/24
70.8,73.3,73.47,70.7,,11/18/24
72.28,71.04,72.49,70.83,,11/15/24
72.12,72.56,73.22,71.79,,11/14/24
